Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
dathang,Chrome 136.0.7103.93,,,20-05-2025 09:37:19,20-05-2025 09:38:21,1m - 1.753s,PASSED
,,,,,,,
Test Cases/dhpp,Chrome 136.0.7103.93,,,20-05-2025 09:37:20,20-05-2025 09:37:42,22.408s,PASSED
"openBrowser("""")",Chrome 136.0.7103.93,,,20-05-2025 09:37:20,20-05-2025 09:37:22,2.548s,PASSED
"navigateToUrl(""http://localhost:3000/signin"")",Chrome 136.0.7103.93,,,20-05-2025 09:37:22,20-05-2025 09:37:24,1.409s,PASSED
"setText(findTestObject(""Object Repository/dhpp/Page_ng nhp  Electro/input_Tn ti khon_mantine-3ftbk89k9""), ""customer1"")",Chrome 136.0.7103.93,,,20-05-2025 09:37:24,20-05-2025 09:37:25,0.945s,PASSED
"setEncryptedText(findTestObject(""Object Repository/dhpp/Page_ng nhp  Electro/input_Mt khu_mantine-roww0y0my""), ""HeCM15nHKBI="")",Chrome 136.0.7103.93,,,20-05-2025 09:37:25,20-05-2025 09:37:25,0.403s,PASSED
"click(findTestObject(""Object Repository/dhpp/Page_ng nhp  Electro/button_ng nhp""))",Chrome 136.0.7103.93,,,20-05-2025 09:37:25,20-05-2025 09:37:26,0.429s,PASSED
"click(findTestObject(""Object Repository/dhpp/Page_Trang ch  Electro/span_Dell XPS 13 9315""))",Chrome 136.0.7103.93,,,20-05-2025 09:37:26,20-05-2025 09:37:30,4.739s,PASSED
"click(findTestObject(""Object Repository/dhpp/Page_Dell XPS 13 9315  Electro/button_Chn mua""))",Chrome 136.0.7103.93,,,20-05-2025 09:37:30,20-05-2025 09:37:32,1.298s,PASSED
"click(findTestObject(""Object Repository/dhpp/Page_Dell XPS 13 9315  Electro/svg_Danh mc sn phm_mantine-gnzaph mantine-G_855041""))",Chrome 136.0.7103.93,,,20-05-2025 09:37:32,20-05-2025 09:37:32,0.833s,PASSED
"click(findTestObject(""Object Repository/dhpp/Page_Gi hng  Electro/div_PayPal""))",Chrome 136.0.7103.93,,,20-05-2025 09:37:32,20-05-2025 09:37:34,1.232s,PASSED
